ID,Banca,Corporacao,Materia,Tema,Enunciado,A,B,C,D,E,Gabarito,Explicacao
1,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
2,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
3,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
4,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
5,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
6,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
7,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
8,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
9,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
10,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
11,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
12,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
13,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
14,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
15,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
16,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
