ID,Banca,Corporacao,Materia,Tema,Enunciado,A,B,C,D,E,Gabarito,Explicacao
1,VUNESP,PC-SP,Língua Portuguesa,Conjunções e conectivos,"Em relatório de Conjunções e conectivos, a redação oficial exige:",Facultativo o uso de crase em pronomes.,Incorreto: uso de crase antes de verbo.,Uso obrigatório de crase em 'conjunções e conectivos' à disposição.,Vedado uso de crase antes de masculino.,Correção: à medida que a equipe chegou ao local.,A,Gabarito A. Conjunções e conectivos em Língua Portuguesa: conforme banca VUNESP para PC-SP. Doutrina majoritária e jurisprudência atual.
2,FGV,PC-SP,Língua Portuguesa,Concordância verbal,Assinale a alternativa correta quanto à crase em contexto policial: Concordância verbal,Facultativo o uso de crase em pronomes.,Incorreto: uso de crase antes de verbo.,Vedado uso de crase antes de masculino.,Correção: à medida que a equipe chegou ao local.,Uso obrigatório de crase em 'concordância verbal' à disposição.,A,Gabarito A. Concordância verbal em Língua Portuguesa: conforme banca FGV para PC-SP. Padrão cobrado em provas de áreas policiais SP.
3,FGV,PM-SP,Língua Portuguesa,Conjunções e conectivos,"Quanto à Conjunções e conectivos, assinale a alternativa que atende à norma padrão:",Correção: à medida que a equipe chegou ao local.,Facultativo o uso de crase em pronomes.,Uso obrigatório de crase em 'conjunções e conectivos' à disposição.,Incorreto: uso de crase antes de verbo.,Vedado uso de crase antes de masculino.,C,Gabarito C. Conjunções e conectivos em Língua Portuguesa: conforme banca FGV para PM-SP. Entendimento pacificado nos tribunais superiores.
4,VUNESP,PM-SP,Língua Portuguesa,Ortografia e acentuação,"Em relatório de Ortografia e acentuação, a redação oficial exige:",Incorreto: uso de crase antes de verbo.,Facultativo o uso de crase em pronomes.,Correção: à medida que a equipe chegou ao local.,Vedado uso de crase antes de masculino.,Uso obrigatório de crase em 'ortografia e acentuação' à disposição.,B,Gabarito B. Ortografia e acentuação em Língua Portuguesa: conforme banca VUNESP para PM-SP. Entendimento pacificado nos tribunais superiores.
5,FGV,PC-SP,Língua Portuguesa,Concordância verbal,"Quanto à Concordância verbal, assinale a alternativa que atende à norma padrão:",Incorreto: uso de crase antes de verbo.,Facultativo o uso de crase em pronomes.,Correção: à medida que a equipe chegou ao local.,Uso obrigatório de crase em 'concordância verbal' à disposição.,Vedado uso de crase antes de masculino.,A,Gabarito A. Concordância verbal em Língua Portuguesa: conforme banca FGV para PC-SP. Entendimento pacificado nos tribunais superiores.
6,FGV,PM-SP,Língua Portuguesa,Conjunções e conectivos,Assinale a alternativa correta quanto à crase em contexto policial: Conjunções e conectivos,Incorreto: uso de crase antes de verbo.,Vedado uso de crase antes de masculino.,Facultativo o uso de crase em pronomes.,Correção: à medida que a equipe chegou ao local.,Uso obrigatório de crase em 'conjunções e conectivos' à disposição.,C,Gabarito C. Conjunções e conectivos em Língua Portuguesa: conforme banca FGV para PM-SP. Doutrina majoritária e jurisprudência atual.
7,FGV,PP-SP,Língua Portuguesa,Pontuação,"Em relatório de Pontuação, a redação oficial exige:",Facultativo o uso de crase em pronomes.,Uso obrigatório de crase em 'pontuação' à disposição.,Vedado uso de crase antes de masculino.,Incorreto: uso de crase antes de verbo.,Correção: à medida que a equipe chegou ao local.,B,Gabarito B. Pontuação em Língua Portuguesa: conforme banca FGV para PP-SP. Doutrina majoritária e jurisprudência atual.
8,VUNESP,PM-SP,Língua Portuguesa,Concordância verbal,"Sobre Concordância verbal em ocorrência policial, conforme norma culta, assinale a correta:",Incorreto: uso de crase antes de verbo.,Uso obrigatório de crase em 'concordância verbal' à disposição.,Correção: à medida que a equipe chegou ao local.,Vedado uso de crase antes de masculino.,Facultativo o uso de crase em pronomes.,B,Gabarito B. Concordância verbal em Língua Portuguesa: conforme banca VUNESP para PM-SP. Doutrina majoritária e jurisprudência atual.
9,VUNESP,GCM-SP,Língua Portuguesa,Interpretação de texto,"Quanto à Interpretação de texto, assinale a alternativa que atende à norma padrão:",Vedado uso de crase antes de masculino.,Correção: à medida que a equipe chegou ao local.,Facultativo o uso de crase em pronomes.,Uso obrigatório de crase em 'interpretação de texto' à disposição.,Incorreto: uso de crase antes de verbo.,C,Gabarito C. Interpretação de texto em Língua Portuguesa: conforme banca VUNESP para GCM-SP. Conforme manual e legislação específica.
10,FGV,PM-SP,Língua Portuguesa,Pontuação,"Em relatório de Pontuação, a redação oficial exige:",Uso obrigatório de crase em 'pontuação' à disposição.,Facultativo o uso de crase em pronomes.,Incorreto: uso de crase antes de verbo.,Vedado uso de crase antes de masculino.,Correção: à medida que a equipe chegou ao local.,A,Gabarito A. Pontuação em Língua Portuguesa: conforme banca FGV para PM-SP. Conforme manual e legislação específica.
